index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average,ArguAna,ClimateFEVER,CQADupstackRetrieval,DBPedia,FEVER,FiQA2018,HotpotQA,MSMARCO,NFCorpus,NQ,QuoraRetrieval,SCIDOCS,SciFact,Touche2020,TRECCOVID
61,199,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Lajavaness/bilingual-embedding-small"">bilingual-embedding-small</a>",118,0.44,384,512,,53.59,21.71,,32.01,66.46,24.47,57.96,30.05,28.94,41.32,86.24,16.2,63.97,14.47,46.79
63,200,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/MAY-A/jina-embeddings-v2-base-de-Q5_K_M-GGUF"">jina-embeddings-v2-base-de-Q5_K_M-GGUF</a>",,,,,,49.33,21.8,,31.47,67.89,32.3,55.39,,28.61,48.9,87.93,16.29,60.68,21.03,65.12
80,202,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/gte-micro"">gte-micro</a>",17,0.06,384,512,,,,,,,,,,,,,,,,
81,203,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/gte-micro-v2"">gte-micro-v2</a>",17,0.06,384,512,,,,,,,,,,,,,,,,
82,204,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/gte-micro-v3"">gte-micro-v3</a>",17,0.06,384,512,,,,,,,,,,,,,,,,
83,205,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/gte-micro-v4"">gte-micro-v4</a>",19,0.07,384,512,,,,,,,,,,,,,,,,
84,206,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/test24"">test24</a>",17,0.06,384,512,,44.35,17.77,25.56,21.94,,,,,,,,,,,
85,207,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/test25"">test25</a>",17,0.06,384,512,,35.0,,22.96,,,,,,,,,,,,
92,208,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka"">Arabert-all-nli-triplet-Matryoshka</a>",135,0.5,768,512,,,,,,,,,,,,,,,,
93,209,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet"">Arabic-MiniLM-L12-v2-all-nli-triplet</a>",118,0.44,384,512,,,,,,,,,,,,,,,,
94,210,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka"">Arabic-all-nli-triplet-Matryoshka</a>",278,1.04,768,514,,,,,,,,,,,,,,,,
95,211,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka"">Arabic-labse-Matryoshka</a>",471,1.75,768,512,,,,,,,,,,,,,,,,
96,212,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet"">Arabic-mpnet-base-all-nli-triplet</a>",109,0.41,768,514,,,,,,,,,,,,,,,,
97,213,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka"">Marbert-all-nli-triplet-Matryoshka</a>",163,0.61,768,512,,,,,,,,,,,,,,,,
98,214,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1"">Solon-embeddings-large-0.1</a>",560,2.09,1024,514,,,,,,,,,,,,,,,,
99,215,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1"">st-polish-kartonberta-base-alpha-v1</a>",124,0.46,768,514,,,,,,,,,,,,,,,,
100,216,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/RinaChen/nomic-embed-text-v1.5-Q4_K_M-GGUF"">nomic-embed-text-v1.5-Q4_K_M-GGUF</a>",,,,,,48.01,41.28,,43.9,86.34,37.46,72.62,42.53,34.67,59.72,88.0,18.62,70.28,29.86,82.3
104,218,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Santyyy/ember-v1-Q8_0-GGUF"">ember-v1-Q8_0-GGUF</a>",,,,,,64.56,27.29,,41.79,83.69,44.3,74.33,42.03,36.91,51.77,89.09,19.58,73.42,23.54,64.14
117,221,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Wissam42/sentence-croissant-llm-base"">sentence-croissant-llm-base</a>",1280,4.77,2048,2048,,,,,,,,,,,,,,,,
119,222,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/YorkieOH10/nomic-embed-text-v1.5-Q8_0-GGUF"">nomic-embed-text-v1.5-Q8_0-GGUF</a>",,,,,,48.01,41.28,,43.9,86.34,37.46,72.62,42.53,34.67,59.72,88.0,18.62,70.28,29.86,82.3
120,223,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aari1995/German_Semantic_STS_V2"">German_Semantic_STS_V2</a>",336,1.25,1024,512,,,,,,,,,,,,,,,,
121,224,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/actualdata/bilingual-embedding-large"">bilingual-embedding-large</a>",560,2.09,1024,514,,55.89,24.97,,30.91,71.86,38.26,62.04,32.11,33.38,48.92,87.58,18.83,68.55,16.76,52.92
122,225,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ai-forever/ru-en-RoSBERTa"">ru-en-RoSBERTa</a>",404,1.5,1024,514,,,,,,,,,,,,,,,,
123,226,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru"">sbert_large_mt_nlu_ru</a>",427,1.59,1024,514,,,,,,,,,,,,,,,,
124,227,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ai-forever/sbert_large_nlu_ru"">sbert_large_nlu_ru</a>",427,1.59,1024,512,,,,,,,,,,,,,,,,
133,228,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aws-neuron/bge-base-en-v1-5-seqlen-384-bs-1"">bge-base-en-v1-5-seqlen-384-bs-1</a>",,,,,,63.61,31.17,,40.77,86.29,40.65,72.6,41.35,37.39,54.15,88.9,21.73,74.04,25.7,78.07
136,229,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/biswa921/bge-m3"">bge-m3</a>",567,2.11,1024,8192,,53.96,,,,,41.3,,,31.41,,,,64.37,,
137,230,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/brahmairesearch/slx-v0.1"">slx-v0.1</a>",23,0.08,384,512,,50.17,20.27,41.32,32.33,45.51,36.61,,,,,,,,,
138,231,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/chris-code/jina-embeddings-v2-base-de-Q8_0-GGUF"">jina-embeddings-v2-base-de-Q8_0-GGUF</a>",,,,,,49.33,21.8,,31.47,67.89,32.3,55.39,,28.61,48.9,87.93,16.29,60.68,21.03,65.12
139,232,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/cointegrated/LaBSE-en-ru"">LaBSE-en-ru</a>",129,0.48,768,512,,,,,,,,,,,,,,,,
140,233,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/cointegrated/rubert-tiny"">rubert-tiny</a>",12,0.04,512,514,,,,,,,,,,,,,,,,
141,234,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/cointegrated/rubert-tiny2"">rubert-tiny2</a>",29,0.11,2048,514,,,,,,,,,,,,,,,,
142,235,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/consciousAI/cai-lunaris-text-embeddings"">cai-lunaris-text-embeddings</a>",,,,,,37.27,8.69,18.81,14.77,,,,,,,,,,,
143,236,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/consciousAI/cai-stellaris-text-embeddings"">cai-stellaris-text-embeddings</a>",53,0.2,768,514,,47.29,13.48,31.03,22.45,,,,,,,,,,,
144,237,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-base"">sentence-camembert-base</a>",110,0.41,768,512,,,,,,,,,,,,,,,,
145,238,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-large"">sentence-camembert-large</a>",337,1.26,1024,512,,,,,,,,,,,,,,,,
147,239,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/deepvk/USER-base"">USER-base</a>",124,0.46,768,512,,,,,,,,,,,,,,,,
148,240,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/deepvk/USER-bge-m3"">USER-bge-m3</a>",359,1.34,1024,8192,,,,,,,,,,,,,,,,
149,241,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/deepvk/deberta-v1-base"">deberta-v1-base</a>",124,0.46,768,512,,,,,,,,,,,,,,,,
151,242,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dopeba/mxbai-embed-large-v1-Q6_K-GGUF"">mxbai-embed-large-v1-Q6_K-GGUF</a>",,,,,,66.02,36.09,,44.51,86.91,45.27,72.03,41.26,38.64,55.79,88.98,23.32,74.73,25.2,75.57
152,243,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dumyy/sft-bge-small"">sft-bge-small</a>",24,0.09,512,512,,,,,,,,,,,,,,,,
157,244,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_cased"">flaubert_base_cased</a>",138,0.51,768,512,,,,,,,,,,,,,,,,
158,245,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_uncased"">flaubert_base_uncased</a>",138,0.51,768,512,,,,,,,,,,,,,,,,
159,246,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_large_cased"">flaubert_large_cased</a>",372,1.39,1024,512,,,,,,,,,,,,,,,,
160,247,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-cased"">bert-base-multilingual-cased</a>",179,0.67,768,512,,,,,,,,,,,,,,,,
161,248,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-uncased"">bert-base-multilingual-uncased</a>",168,0.63,768,512,,,,,,,,,,,,,,,,
177,249,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/herbert-base-retrieval-v2"">herbert-base-retrieval-v2</a>",125,0.47,768,514,,,,,,,,,,,,,,,,
178,250,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/silver-retriever-base-v1"">silver-retriever-base-v1</a>",125,0.47,768,514,,,,,,,,,,,,,,,,
187,251,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-de"">jina-embeddings-v2-base-de</a>",161,0.6,768,8192,,49.33,21.8,36.22,31.47,67.89,32.3,55.39,,28.61,48.9,87.93,16.29,60.68,21.03,65.12
189,252,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-es"">jina-embeddings-v2-base-es</a>",161,0.6,768,8192,,50.13,27.13,38.78,32.63,78.43,37.01,59.48,,30.3,50.7,88.14,17.36,62.67,19.82,67.37
197,253,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/bge-m3-custom-fr"">bge-m3-custom-fr</a>",568,2.12,1024,8194,,,,,,,,,,,,,,,,
198,254,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.1"">sentence_croissant_alpha_v0.1</a>",1280,4.77,2048,2048,,,,,,,,,,,,,,,,
199,255,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.2"">sentence_croissant_alpha_v0.2</a>",1280,4.77,2048,2048,,,,,,,,,,,,,,,,
200,256,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.3"">sentence_croissant_alpha_v0.3</a>",1280,4.77,2048,2048,,,,,,,,,,,,,,,,
201,257,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.4"">sentence_croissant_alpha_v0.4</a>",1280,4.77,2048,2048,,,,,,,,,,,,,,,,
206,259,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mukaj/fin-mpnet-base"">fin-mpnet-base</a>",109,0.41,768,514,,49.11,,,,,79.91,,,29.64,,,,65.4,,
211,264,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-small-en-v1.5-quant"">bge-small-en-v1.5-quant</a>",,,,,,57.77,,,,,,,,,,,,,,
212,265,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-small-en-v1.5-sparse"">bge-small-en-v1.5-sparse</a>",,,,,,49.13,,,,,,,,,,,,,,
226,266,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/piaopiao0095/jina-embeddings-v2-base-es-Q5_K_M-GGUF"">jina-embeddings-v2-base-es-Q5_K_M-GGUF</a>",,,,,,50.13,27.13,,32.63,78.43,37.01,59.48,,30.3,50.7,88.14,17.36,62.67,19.82,67.37
229,267,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/qinxianliu/FAE-v1"">FAE-v1</a>",335,1.25,1024,512,,,,,,,,,,,,,,,,
231,268,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sabafallah/bge-large-en-v1.5-Q4_K_M-GGUF"">bge-large-en-v1.5-Q4_K_M-GGUF</a>",,,,,,63.54,36.57,,44.11,87.18,45.02,74.1,42.49,38.13,55.03,89.07,22.64,74.61,24.81,74.82
232,269,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sabafallah/bge-large-en-v1.5-Q8_0-GGUF"">bge-large-en-v1.5-Q8_0-GGUF</a>",,,,,,63.54,36.57,,44.11,87.18,45.02,74.1,42.49,38.13,55.03,89.07,22.64,74.61,24.81,74.82
233,270,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-base"">mmlw-e5-base</a>",278,1.04,768,514,,,,,,,,,,,,,,,,
234,271,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-large"">mmlw-e5-large</a>",560,2.09,1024,514,,,,,,,,,,,,,,,,
235,272,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-small"">mmlw-e5-small</a>",118,0.44,384,512,,,,,,,,,,,,,,,,
236,273,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-base"">mmlw-roberta-base</a>",124,0.46,768,514,,,,,,,,,,,,,,,,
237,274,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-large"">mmlw-roberta-large</a>",435,1.62,1024,514,,,,,,,,,,,,,,,,
238,275,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-distilroberta"">st-polish-paraphrase-from-distilroberta</a>",125,0.47,768,514,,,,,,,,,,,,,,,,
239,276,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-mpnet"">st-polish-paraphrase-from-mpnet</a>",125,0.47,768,514,,,,,,,,,,,,,,,,
247,277,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135,0.5,512,512,,,,,,,,,,,,,,,,
253,278,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",23,0.09,384,512,,,,,,,,,,,,,,,,
260,279,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sergeyzh/LaBSE-ru-turbo"">LaBSE-ru-turbo</a>",128,0.48,768,512,,,,,,,,,,,,,,,,
261,280,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sergeyzh/rubert-tiny-turbo"">rubert-tiny-turbo</a>",29,0.11,312,2048,,32.03,5.5600000000000005,17.02,9.61,,,,,,,,,,,
262,281,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118,0.44,384,512,,,,,,,,,,,,83.07,,,,
265,283,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/technicolor/Angle_BERT"">Angle_BERT</a>",109,0.41,768,512,,38.88,9.94,18.0,,,,,,,,,,,,
269,284,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thtang/ALL_862873"">ALL_862873</a>",118,0.44,384,512,,5.35,0.59,,0.43,0.51,0.76,0.59,0.31,4.87,0.33,31.95,1.02,2.91,3.8200000000000003,7.5
277,287,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-3"">universal-sentence-encoder-multilingual-3</a>",,,512,512,,,,,,,,,,,,,,,,
278,288,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-large-3"">universal-sentence-encoder-multilingual-large-3</a>",,,512,512,,,,,,,,,,,,,,,,
280,289,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/w601sxs/b1ade-embed-kd"">b1ade-embed-kd</a>",335,1.25,1024,512,,54.83,31.95,32.2,41.81,62.94,29.36,63.85,,28.47,42.04,88.15,17.3,65.72,18.1,53.89
281,290,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/w601sxs/b1ade-embed-kd_3"">b1ade-embed-kd_3</a>",335,1.25,1024,512,,0.44,0.11,,0.28,0.25,0.16,0.30000000000000004,0.2,0.23,0.21,0.84,0.15,0.51,0.12,0.37
282,291,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/walsons/jina-embeddings-v2-base-en-Q4_K_M-GGUF"">jina-embeddings-v2-base-en-Q4_K_M-GGUF</a>",,,,,,44.18,23.53,,35.05,72.33,41.58,61.38,40.92,32.45,60.44,88.2,19.86,66.68,26.24,65.91
283,292,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-base"">xlm-roberta-base</a>",279,1.04,768,514,,,,,,,,,,,,,,,,
284,293,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-large"">xlm-roberta-large</a>",560,2.09,1024,514,,,,,,,,,,,,,,,,
285,294,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/yco/bilingual-embedding-base"">bilingual-embedding-base</a>",278,1.04,768,514,,,,,,,,,,,,,,,,
286,295,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/yessilver/new_model"">new_model</a>",,,,,,46.87,19.68,,36.06,69.98,35.49,65.0,68.72,31.81,52.15,85.02,17.36,67.97,13.23,52.61
292,299,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zhou-xl/bi-cse"">bi-cse</a>",560,2.09,1024,514,,,,,,,,,,,,,,,,
293,300,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zyj2003lj/nomic-embed-text-v1.5-Q4_K_M-GGUF"">nomic-embed-text-v1.5-Q4_K_M-GGUF</a>",,,,,,48.01,41.28,,43.9,86.34,37.46,72.62,42.53,34.67,59.72,88.0,18.62,70.28,29.86,82.3
294,301,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-search-ada-001</a>",,,1024,2046,,46.91,18.5,,36.2,72.1,38.41,59.39,37.94,33.17,42.81,70.57,14.83,67.25,28.68,72.43
295,302,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-search-ada-doc-001</a>",,,1024,2046,,,,,,,,,,,,,,,,
296,303,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-search-babbage-001</a>",,,2048,2046,,49.2,19.9,,,77.0,42.2,63.1,,36.7,,69.7,,70.4,29.7,58.5
297,304,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-search-curie-001</a>",,,4096,2046,,46.98,19.4,,,75.6,45.21,64.8,,38.01,,67.7,17.74,74.35,30.9,56.14
298,305,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-search-davinci-001</a>",,,12288,2046,,43.5,22.3,,,77.5,51.2,68.8,,40.7,,63.8,,75.4,29.1,64.9
300,306,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-babbage-001</a>",,,2048,2046,,,,,,,,,,,,,,,,
301,307,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-curie-001</a>",,,4096,2046,,,,,,,5.14,,,19.96,,83.11,,46.68,,7.61
302,308,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-davinci-001</a>",,,12288,2046,,,,,,,,,,,,,,,,
