Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AmazonCounterfactualClassification (de),AmazonCounterfactualClassification (ja),AmazonReviewsClassification (de),AmazonReviewsClassification (es),AmazonReviewsClassification (fr),AmazonReviewsClassification (ja),AmazonReviewsClassification (zh),MTOPDomainClassification (de),MTOPDomainClassification (es),MTOPDomainClassification (fr),MTOPDomainClassification (hi),MTOPDomainClassification (th),MTOPIntentClassification (de),MTOPIntentClassification (es),MTOPIntentClassification (fr),MTOPIntentClassification (hi),MTOPIntentClassification (th),MassiveIntentClassification (af),MassiveIntentClassification (am),MassiveIntentClassification (ar),MassiveIntentClassification (az),MassiveIntentClassification (bn),MassiveIntentClassification (cy),MassiveIntentClassification (de),MassiveIntentClassification (el),MassiveIntentClassification (es),MassiveIntentClassification (fa),MassiveIntentClassification (fi),MassiveIntentClassification (fr),MassiveIntentClassification (he),MassiveIntentClassification (hi),MassiveIntentClassification (hu),MassiveIntentClassification (hy),MassiveIntentClassification (id),MassiveIntentClassification (is),MassiveIntentClassification (it),MassiveIntentClassification (ja),MassiveIntentClassification (jv),MassiveIntentClassification (ka),MassiveIntentClassification (km),MassiveIntentClassification (kn),MassiveIntentClassification (ko),MassiveIntentClassification (lv),MassiveIntentClassification (ml),MassiveIntentClassification (mn),MassiveIntentClassification (ms),MassiveIntentClassification (my),MassiveIntentClassification (nl),MassiveIntentClassification (pt),MassiveIntentClassification (ro),MassiveIntentClassification (ru),MassiveIntentClassification (sl),MassiveIntentClassification (sq),MassiveIntentClassification (sw),MassiveIntentClassification (ta),MassiveIntentClassification (te),MassiveIntentClassification (th),MassiveIntentClassification (tl),MassiveIntentClassification (tr),MassiveIntentClassification (ur),MassiveIntentClassification (vi),MassiveIntentClassification (zh-TW),MassiveScenarioClassification (af),MassiveScenarioClassification (am),MassiveScenarioClassification (ar),MassiveScenarioClassification (az),MassiveScenarioClassification (bn),MassiveScenarioClassification (cy),MassiveScenarioClassification (de),MassiveScenarioClassification (el),MassiveScenarioClassification (es),MassiveScenarioClassification (fa),MassiveScenarioClassification (fi),MassiveScenarioClassification (fr),MassiveScenarioClassification (he),MassiveScenarioClassification (hi),MassiveScenarioClassification (hu),MassiveScenarioClassification (hy),MassiveScenarioClassification (id),MassiveScenarioClassification (is),MassiveScenarioClassification (it),MassiveScenarioClassification (ja),MassiveScenarioClassification (jv),MassiveScenarioClassification (ka),MassiveScenarioClassification (km),MassiveScenarioClassification (kn),MassiveScenarioClassification (ko),MassiveScenarioClassification (lv),MassiveScenarioClassification (ml),MassiveScenarioClassification (mn),MassiveScenarioClassification (ms),MassiveScenarioClassification (my),MassiveScenarioClassification (nl),MassiveScenarioClassification (pt),MassiveScenarioClassification (ro),MassiveScenarioClassification (ru),MassiveScenarioClassification (sl),MassiveScenarioClassification (sq),MassiveScenarioClassification (sw),MassiveScenarioClassification (ta),MassiveScenarioClassification (te),MassiveScenarioClassification (th),MassiveScenarioClassification (tl),MassiveScenarioClassification (tr),MassiveScenarioClassification (ur),MassiveScenarioClassification (vi),MassiveScenarioClassification (zh-TW),Subset,Task category
70,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v2"">stella-large-zh-v2</a>",163,0.61,,,,,,,,40.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
71,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v3-1792d"">stella-large-zh-v3-1792d</a>",325,1.21,,,,,,,,46.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
72,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-mrl-large-zh-v3.5-1792d"">stella-mrl-large-zh-v3.5-1792d</a>",326,1.21,,,,,,,,46.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
73,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-de"">jina-embeddings-v2-base-de</a>",161,0.6,,68.92,,37.72,,,,,88.37,,,,,63.83,,,,,,,,,,,63.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
74,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-es"">jina-embeddings-v2-base-es</a>",161,0.6,,,,,38.68,,,,,89.89,,,,,68.76,,,,,,,,,,,,66.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
75,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-zh"">jina-embeddings-v2-base-zh</a>",161,0.6,,,,,,,,34.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
76,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lier007/xiaobu-embedding"">xiaobu-embedding</a>",326,1.21,,,,,,,,46.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
77,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/liujiarik/lim_base_zh"">lim_base_zh</a>",102,0.38,,,,,,,,46.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
78,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/bge-m3-custom-fr"">bge-m3-custom-fr</a>",568,2.12,,,,,,42.33,,,,,90.39,,,,,60.88,,,,,,,,,,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
79,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.1"">sentence_croissant_alpha_v0.1</a>",1280,4.77,,,,,,36.62,,,,,88.7,,,,,67.69,,,,,,,,,,,,,,65.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
80,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.2"">sentence_croissant_alpha_v0.2</a>",1280,4.77,,,,,,36.48,,,,,88.96,,,,,67.76,,,,,,,,,,,,,,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
81,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.3"">sentence_croissant_alpha_v0.3</a>",1280,4.77,,,,,,35.11,,,,,88.52,,,,,65.93,,,,,,,,,,,,,,66.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
82,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.4"">sentence_croissant_alpha_v0.4</a>",1280,4.77,,,,,,34.62,,,,,86.97,,,,,62.59,,,,,,,,,,,,,,65.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
83,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-base"">m3e-base</a>",102,0.38,,,,,,,,43.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
84,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-large"">m3e-large</a>",102,0.38,,,,,,,,44.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
85,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neofung/m3e-ernie-xbase-zh"">m3e-ernie-xbase-zh</a>",,,,,,,,,,47.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
86,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nickprock/mmarco-bert-base-italian-uncased"">mmarco-bert-base-italian-uncased</a>",110,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.04,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
87,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nickprock/mmarco-sentence-flare-it"">mmarco-sentence-flare-it</a>",17,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
88,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nickprock/stsbm-sentence-flare-it"">stsbm-sentence-flare-it</a>",17,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
89,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-base-zh"">piccolo-base-zh</a>",51,0.19,,,,,,,,40.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
90,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh"">piccolo-large-zh</a>",163,0.61,,,,,,,,40.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
91,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh-v2"">piccolo-large-zh-v2</a>",,,,,,,,,,49.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
92,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",23,0.09,,,,,,27.05,,,,,72.97,,,,,37.18,,,,,,,,,,,,,,42.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
93,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118,0.44,,68.35,63.45,35.91,37.49,35.3,33.24,35.26,79.2,83.04,78.63,81.36,79.99,54.23,60.28,54.05,59.9,61.96,,,,,,,,,,,,57.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
94,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278,1.04,,69.95,69.79,39.52,39.99,39.0,36.64,37.74,85.73,86.96,81.21,84.76,82.51,61.27,66.59,59.76,62.37,64.8,,,,,,,,,,,,61.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
95,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xxl"">sentence-t5-xxl</a>",4865,18.12,,,,,,46.09,,,,,86.2,,,,,58.33,,,,,,,,,,,,,,65.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
96,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentosa/ZNV-Embedding"">ZNV-Embedding</a>",6061,22.58,,,,,,,,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
97,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-chinese"">text2vec-base-chinese</a>",102,0.38,,,,,,,,34.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
98,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/silk-road/luotuo-bert-medium"">luotuo-bert-medium</a>",328,1.22,,,,,,,,34.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
99,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/spaces/mteb/leaderboard"">text2vec-base-multilingual</a>",,,,,,,,34.25,,,,,71.83,,,,,44.53,,,,,,,,,,,,,,51.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
100,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-base-zh"">gte-base-zh</a>",102,0.38,,,,,,,,45.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
101,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-large-zh"">gte-large-zh</a>",326,1.21,,,,,,,,47.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
102,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-small-zh"">gte-small-zh</a>",15,0.06,,,,,,,,38.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
103,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thtang/ALL_862873"">ALL_862873</a>",118,0.44,,,,,,,,21.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
104,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-3"">universal-sentence-encoder-multilingual-3</a>",,,,,,,,33.51,,,,,85.5,,,,,53.98,,,,,,,,,,,,,,61.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
105,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-large-3"">universal-sentence-encoder-multilingual-large-3</a>",,,,,,,,35.09,,,,,88.19,,,,,63.64,,,,,,,,,,,,,,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
106,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-base"">xlm-roberta-base</a>",279,1.04,,,,,,26.75,,,,,43.83,,,,,19.38,,,,,,,,,,,,,,13.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
107,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-large"">xlm-roberta-large</a>",560,2.09,,,,,,26.62,,,,,36.77,,,,,15.37,,,,,,,,,,,,,,15.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
108,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,,,,,,43.76,,38.3,,,89.38,,,,,64.45,,,,,,,,,,,,,,65.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
109,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://platform.baichuan-ai.com/docs/text-Embedding"">Baichuan-text-embedding</a>",,,,,,,,,,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
