index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average (56 datasets),Classification Average (12 datasets),Clustering Average (11 datasets),PairClassification Average (3 datasets),Reranking Average (4 datasets),Retrieval Average (15 datasets),STS Average (10 datasets),Summarization Average (1 datasets)
206,256,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mukaj/fin-mpnet-base"">fin-mpnet-base</a>",109,0.41,768,514,,,,,,,,
207,257,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-base-en-v1.5-quant"">bge-base-en-v1.5-quant</a>",,,,,,74.98,45.06,86.24,58.94,,82.79,
208,258,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-base-en-v1.5-sparse"">bge-base-en-v1.5-sparse</a>",,,,,,72.62,42.88,84.69,57.18,,81.19,
209,259,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-large-en-v1.5-quant"">bge-large-en-v1.5-quant</a>",,,,,,,,86.74,,,84.18,
210,260,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-large-en-v1.5-sparse"">bge-large-en-v1.5-sparse</a>",,,,,,,,85.06,,,82.5,
211,261,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-small-en-v1.5-quant"">bge-small-en-v1.5-quant</a>",,,,,,73.52,42.63,85.05,57.86,,82.04,
212,262,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-small-en-v1.5-sparse"">bge-small-en-v1.5-sparse</a>",,,,,,68.55,38.37,81.93,54.14,,78.53,
224,263,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nvidia/NV-Retriever-v1"">NV-Retriever-v1</a>",7111,26.49,4096,512,,,,,,60.9,,
225,264,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/openbmb/MiniCPM-Embedding"">MiniCPM-Embedding</a>",2725,10.15,2304,2048,,,,,,58.56,,
226,265,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/piaopiao0095/jina-embeddings-v2-base-es-Q5_K_M-GGUF"">jina-embeddings-v2-base-es-Q5_K_M-GGUF</a>",,,,,,69.02,39.29,84.56,55.32,,83.49,29.87
229,266,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/qinxianliu/FAE-v1"">FAE-v1</a>",335,1.25,1024,512,,,,,,,,
231,267,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sabafallah/bge-large-en-v1.5-Q4_K_M-GGUF"">bge-large-en-v1.5-Q4_K_M-GGUF</a>",,,,,,75.97,46.08,87.12,60.03,,83.11,31.61
232,268,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sabafallah/bge-large-en-v1.5-Q8_0-GGUF"">bge-large-en-v1.5-Q8_0-GGUF</a>",,,,,,75.97,46.08,87.12,60.03,,83.11,31.61
233,269,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-base"">mmlw-e5-base</a>",278,1.04,768,514,,,,,,,,
234,270,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-large"">mmlw-e5-large</a>",560,2.09,1024,514,,,,,,,,
235,271,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-small"">mmlw-e5-small</a>",118,0.44,384,512,,,,,,,,
236,272,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-base"">mmlw-roberta-base</a>",124,0.46,768,514,,,,,,,,
237,273,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-large"">mmlw-roberta-large</a>",435,1.62,1024,514,,,,,,,,
238,274,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-distilroberta"">st-polish-paraphrase-from-distilroberta</a>",125,0.47,768,514,,,,,,,,
239,275,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-mpnet"">st-polish-paraphrase-from-mpnet</a>",125,0.47,768,514,,,,,,,,
247,276,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135,0.5,512,512,,64.67,,78.3,48.82,,75.6,
253,277,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",23,0.09,384,512,,,,,,,,
260,278,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sergeyzh/LaBSE-ru-turbo"">LaBSE-ru-turbo</a>",128,0.48,768,512,,,,,,,,
261,279,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sergeyzh/rubert-tiny-turbo"">rubert-tiny-turbo</a>",29,0.11,312,2048,,,23.75,,,,,
262,280,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118,0.44,384,512,,62.23,30.61,76.49,,,80.24,30.1
264,282,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/tanmaylaud/ret-phi2-v0"">ret-phi2-v0</a>",2649,9.87,2560,2048,,,,,,50.78,,
265,283,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/technicolor/Angle_BERT"">Angle_BERT</a>",109,0.41,768,512,,66.01,33.47,77.75,,,,
269,284,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thtang/ALL_862873"">ALL_862873</a>",118,0.44,384,512,,41.73,18.0,30.61,34.44,,39.1,
275,285,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-4"">universal-sentence-encoder-4</a>",,,,,,64.45,35.71,76.23,,,72.04,29.42
276,286,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-large-5"">universal-sentence-encoder-large-5</a>",,,,,,67.9,37.82,79.53,,,74.05,29.01
277,287,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-3"">universal-sentence-encoder-multilingual-3</a>",,,512,512,,63.42,34.82,75.43,,,75.39,30.79
278,288,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-large-3"">universal-sentence-encoder-multilingual-large-3</a>",,,512,512,,65.78,35.06,79.62,,,75.35,29.71
280,289,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/w601sxs/b1ade-embed-kd"">b1ade-embed-kd</a>",335,1.25,1024,512,,,43.43,82.83,54.29,,,30.57
281,290,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/w601sxs/b1ade-embed-kd_3"">b1ade-embed-kd_3</a>",335,1.25,1024,512,,,0.41000000000000003,0.79,0.53,,,0.29
282,291,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/walsons/jina-embeddings-v2-base-en-Q4_K_M-GGUF"">jina-embeddings-v2-base-en-Q4_K_M-GGUF</a>",,,,,,73.45,41.73,85.38,56.98,,80.7,31.6
283,292,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-base"">xlm-roberta-base</a>",279,1.04,768,514,,,,,,,,
284,293,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-large"">xlm-roberta-large</a>",560,2.09,1024,514,,,,,,,,
285,294,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/yco/bilingual-embedding-base"">bilingual-embedding-base</a>",278,1.04,768,514,,,,,,,,
286,295,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/yessilver/new_model"">new_model</a>",,,,,,,40.54,85.41,54.46,,80.59,29.78
288,296,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeroshot/gte-large-quant"">gte-large-quant</a>",,,,,,,,84.69,,,82.88,
289,297,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeroshot/gte-large-sparse"">gte-large-sparse</a>",,,,,,,,83.58,,,81.9,
290,298,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeroshot/gte-small-quant"">gte-small-quant</a>",,,,,,71.7,,83.09,,,81.5,
292,299,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zhou-xl/bi-cse"">bi-cse</a>",560,2.09,1024,514,,,,,,,79.66,
293,300,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zyj2003lj/nomic-embed-text-v1.5-Q4_K_M-GGUF"">nomic-embed-text-v1.5-Q4_K_M-GGUF</a>",,,,,,73.55,43.93,84.61,55.78,,81.94,30.4
294,301,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-search-ada-001</a>",,,1024,2046,,,,,,,,
295,302,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-search-ada-doc-001</a>",,,1024,2046,,,,,,,,
296,303,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-search-babbage-001</a>",,,2048,2046,,,,,,,,
297,304,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-search-curie-001</a>",,,4096,2046,,,,,,,,
298,305,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-search-davinci-001</a>",,,12288,2046,,,,,,,,
300,306,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-babbage-001</a>",,,2048,2046,,,,77.46,,,,
301,307,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-curie-001</a>",,,4096,2046,,,,77.79,,,,
302,308,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-davinci-001</a>",,,12288,2046,,,,75.9,,,,
